FIPS,2010 RR,2011 RR,2012 RR,2013 RR,2014 RR,2015 RR,2016 RR,2017 RR,2018 RR,2019 RR,2020 RR,2021 RR,2022 RR
35041,0.7618486550248392,0.0,0.3489660262596436,0.6961848052496593,0.6555270994773256,0.31595684627866166,0.6469201035232821,0.5960478363276501,0.0,0.42734352106388707,0.596240663869006,0.5865689529559196,0.7813512371263781
35043,1.1715755674716375,1.5869645178739982,1.3545391808762484,1.3298728534518542,1.7274667502288485,1.0202129087275769,0.751606310377796,0.9446708309398505,1.1063843895498504,0.6351899882334548,0.9589834869174552,0.9972288344108778,0.6975257715928513
35045,1.1853683546233118,1.2461399234312605,1.6667719412138244,1.091513128898735,1.2071208868095415,0.8854211426047819,0.8390142112466135,0.9144970697550395,0.8172544610885171,1.1277767949559505,1.042171555588999,1.0184857975169486,1.2448387564084697
35047,1.2510869286989372,3.375532869514348,3.178958055005613,0.9803270378724325,2.8863571457815094,0.509488143510014,2.745726095315235,1.8401352205629322,1.7639846140469242,0.6407822698613356,1.7098182869872274,2.4963068412824665,2.7240216974836615
35049,1.8571582229519243,2.1940583267251252,1.9866574652851645,2.3167402496199516,2.1092348641213428,2.037952574040056,1.6068824566697708,1.0611879702842744,1.2976774230267933,1.673490277143313,1.3392207965105638,1.6275440012952327,1.4935617618053947
35051,0.8624548671899938,1.472849140270403,1.238217172123034,1.2172333494709595,1.406156576080895,1.450557262954482,1.1114016232564166,1.0054825650200079,0.7194175661041262,0.7293267289694474,1.0364590701866612,2.6783773513648974,1.5005982059925154
35053,1.3013900347815142,2.1172206391387043,1.2389824484964103,1.1351155175365006,1.753959555285445,1.2594992091382267,1.527605523323634,0.9465276777819926,1.0095209960080904,0.8509588543758537,2.3742517453466405,3.2107256448038837,2.8476183692922192
35055,2.334226390315721,3.043076736095874,3.2684953906906538,4.013599874106333,4.89369660583902,2.2549796837148315,1.311626698502428,1.0226583983098234,1.4826426971266364,1.4968673823960799,1.0953690758982697,1.8684562498306996,1.9463416486288243
35057,1.9293675203930434,2.054837566048739,1.8114091757819661,1.2949909425416417,2.1948270035349626,1.3120556317090413,2.002250752460119,1.370817181211488,1.2188238061737022,1.4600515283458648,1.455969716920842,2.2196582489744747,2.0286374523825423
35059,0.0,0.0,0.0,0.0,0.4931737556689516,0.0,0.0,0.0,0.0,0.0,0.2074346261723907,0.5613070547718936,0.1297153189277934
35061,2.330981028632974,2.369035239050638,1.297908729246394,2.0958214805219386,1.7920005061359425,0.8977873596802675,1.2765619010608682,1.8336362566154347,1.6554392031935947,1.579819559876311,1.426693229233861,1.7162687168683972,1.1362327700420394
36001,0.693696059687154,0.7516399538156809,0.6765043140647478,0.8524266978683197,0.8375802214047072,0.7197138337932724,0.5264801470935745,0.7348471377777805,0.8240689711869322,0.8695997931354561,0.9639819116445006,0.9719669362268522,0.9685818389749856
36003,0.7594146337627788,0.991282246783231,1.0384800386717903,0.9737866795767676,0.3980713785427076,1.4703432102752594,1.1357945258244586,0.840223196069351,1.0148752539425598,0.8449005492789827,0.8593720227141901,0.9349983047380336,1.0484301838810097
36005,0.6498836769700704,0.7326207242150818,0.8961386332237781,0.7942901796846321,0.6657166398837089,0.9559085799350509,1.15205646086982,1.1359260556804982,1.3492729994862234,1.340749520284409,1.4216948045068156,1.764327937803861,1.9353280838142004
36007,0.7277723573559965,0.917487635932906,0.8111929557789962,1.214326523561775,1.3083369881796159,1.2267287338881894,1.9514322054433653,1.6061725184530138,1.0664708304019896,1.1254466776110004,1.4324057146361988,1.4214438807450698,1.5675973919481447
36009,0.7318290594594302,0.9783491706548236,0.9634829540809021,1.0341033171923435,0.7254952769344908,1.3491542829354985,1.308577585681423,0.840223196069351,0.6970270329236189,1.0406304062548086,0.7058489775263622,0.9673458572907498,1.280632842055998
36011,0.726149676514623,1.1449576219560726,1.011695365603616,1.3712951226577315,1.0026507759881167,1.3423528635439816,1.1093688813757463,1.3759235100273792,0.9462434022370917,1.101213457223517,1.5027406911524828,0.8931005223840391,0.8566105966929751
36013,0.7220929744111895,0.7927214897529753,0.687983459665394,0.7644952141154923,0.9258895715933626,1.229201977303286,1.3736253258628688,1.4390563026602146,1.0270440219754442,1.1384953347427218,1.3599285560940384,1.4577963683757411,1.5293558474529227
36015,0.6985641022112742,1.1989722340217746,1.6353956099053917,1.149649647082423,0.7737257681913717,0.9942438528690565,1.295364763457067,1.4650521584502054,1.1555462124027036,1.8985796126655137,1.1667751434274918,1.2242778461380381,1.4277863052736128
36017,0.7732074209144534,0.8642337930512283,0.8219068250062661,0.6685699591124076,1.1704385413465614,1.238476640109901,1.3680352856910258,1.2361957851561776,1.1044373866645891,1.2275058173198239,1.1460673838440174,1.6549624029827732,1.2512633358836676
36019,0.7253383360939363,1.206579925862014,1.1976575243340841,0.40986245319499764,0.9157000311869793,0.7611406609961497,0.6896076830173558,0.9743803804141259,0.2511633721987342,0.3271484752310236,0.8054604417296272,0.5807155863035234,0.932481820971496
36021,0.819453824893597,0.967698402078488,1.154802047425005,1.167817309014825,1.03729521336982,1.1933399477843778,1.1662856540345112,1.455303712528959,0.8123869538753633,0.8621434176316151,1.3313661290823493,0.8478139488102368,0.9483903034815083
36023,0.7229043148318761,0.9045545598044986,0.9627176777075257,0.0,1.2893165127543667,1.2749569804825838,1.3527897215859996,1.3601403118691706,0.9773954484012758,1.2731761172808498,0.9082851789717074,1.1309320516287715,0.7960359902125433
36025,0.8989651861208965,1.3024368430490343,1.1364354144639712,1.1649104831056405,1.2370102053349326,1.3275134030533984,1.3395768993616435,1.4005267306857636,1.4213121062408989,1.3887499375903856,1.3642129201457915,1.1105993043099212,1.0257911895398377
36027,1.5001684378497633,0.9699807096305598,1.4930542044573791,1.713573873464192,1.0991117585018786,1.359047256595887,1.1215653326597674,1.3977414604225502,1.5410527836844816,1.2037386204013307,1.509524267567759,0.9953804028364373,1.377919331251843
36029,0.6977527617905874,0.9281384045092416,0.766041649749788,1.0820659446938858,1.089601520789254,1.8697720218134497,1.6551600763356875,1.4042404243700481,1.0956758736809125,0.9334450083870947,1.1210752602087894,1.0271118115310063,1.1524471849080136
36031,0.3724052530952089,0.6131799623233187,0.7560930568958947,0.3844277264896344,0.8287492863858417,0.5057782783873682,0.7759992129458382,0.6317921380388877,0.5071942516106221,0.3504496486805268,0.927207786866951,1.2399895145207858,0.8287707523004535
