FIPS,2014 DR,2015 DR,2016 DR,2017 DR,2018 DR,2019 DR,2020 DR
30055,-9.0,-9.0,-9.0,-9.0,-9.0,37.2,23.3
30057,16.0,3.8,29.6,24.7,22.4,12.8,9.4
30059,62.7,57.1,54.1,49.5,42.3,27.3,34.4
30061,72.0,64.3,50.5,43.3,41.3,19.3,25.0
30063,85.3,75.5,71.2,62.1,57.5,60.3,59.2
30065,-9.0,-9.0,-9.0,-9.0,-9.0,32.9,25.9
30067,48.4,45.7,44.8,42.6,34.9,28.5,28.0
30069,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
30071,79.8,59.4,84.9,77.0,62.6,46.2,41.3
30073,6.4,80.8,67.8,65.3,60.8,40.1,43.1
30075,58.2,47.8,38.6,33.6,28.5,1.7,1.4
30077,85.4,81.4,76.0,69.2,56.9,44.3,55.7
30079,-9.0,-9.0,-9.0,-9.0,-9.0,21.8,18.6
30081,88.4,75.9,78.1,71.0,61.5,32.0,31.0
30083,68.4,60.1,63.8,59.9,52.6,33.7,17.8
30085,27.7,26.4,27.0,23.5,23.5,28.6,26.0
30087,40.8,37.3,38.8,38.3,38.7,18.3,13.6
30089,94.2,68.1,79.1,69.3,62.5,45.5,44.2
30091,-9.0,-9.0,-9.0,-9.0,-9.0,4.9,1.9
30093,112.7,108.1,98.6,86.9,75.6,55.2,51.4
30095,2.5,2.7,42.2,44.1,41.1,20.9,24.6
30097,3.1,1.8,44.8,45.5,43.2,12.1,13.0
30099,88.7,71.1,64.8,57.5,28.9,13.4,14.6
30101,57.9,61.9,57.7,49.0,51.4,117.1,110.3
30103,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
30105,52.7,49.0,41.9,39.4,32.6,15.9,18.7
30107,0.6,2.4,46.8,51.3,41.3,3.9,3.7
30109,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
30111,101.7,95.5,86.8,73.8,65.2,73.7,68.1
31001,83.7,78.9,77.8,69.1,67.8,47.3,48.1
31003,59.5,53.6,48.6,48.0,48.8,42.1,40.5
31005,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31007,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31009,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31011,4.9,5.1,2.0,0.7,-9.0,12.7,13.5
31013,83.6,91.0,101.7,102.2,89.5,73.8,64.5
31015,65.4,27.3,-9.0,-9.0,-9.0,12.2,33.8
31017,64.3,59.3,55.5,41.2,33.9,8.1,7.1
31019,79.6,77.4,73.9,70.0,68.3,75.7,73.1
31021,54.9,46.6,20.8,20.0,18.0,19.2,18.7
31023,72.3,69.0,65.6,54.7,52.4,50.5,41.9
31025,25.3,26.4,25.9,35.2,30.1,10.1,9.4
31027,37.8,37.1,34.4,35.0,32.7,15.9,14.9
31029,75.9,69.5,64.4,56.7,52.8,86.3,70.7
31031,82.3,85.0,91.3,78.4,59.9,20.1,18.8
31033,68.4,54.1,45.5,39.9,35.5,28.1,30.8
31035,1.4,1.1,1.0,0.0,-9.0,2.7,1.5
